Origin,Gender,Destination,1960,1970,1980,1990,2000
AFG,Female,AFG,0,0,0,0,0
AFG,Male,AFG,0,0,0,0,0
AFG,Total,AFG,0,0,0,0,0
AFG,Female,ALB,0,0,0,0,0
AFG,Male,ALB,0,0,0,0,0
AFG,Total,ALB,0,0,0,0,0
AFG,Female,DZA,22,8,6,5,4
AFG,Male,DZA,19,8,6,5,4
AFG,Total,DZA,41,16,13,10,8
AFG,Female,AND,0,0,0,2,3
AFG,Male,AND,0,0,1,3,3
AFG,Total,AND,0,0,2,5,6
AFG,Female,AGO,0,0,0,0,0
AFG,Male,AGO,0,0,0,0,0
AFG,Total,AGO,0,0,0,0,0
AFG,Female,AIA,0,0,0,0,0
AFG,Male,AIA,0,0,0,0,0
AFG,Total,AIA,0,0,0,0,0
AFG,Female,ANT,0,0,0,0,0
AFG,Male,ANT,0,0,0,0,0
AFG,Total,ANT,0,0,0,0,0
AFG,Female,ARG,2,4,6,20,0
AFG,Male,ARG,4,5,6,0,0
AFG,Total,ARG,6,9,13,21,0
AFG,Female,ARM,0,0,0,0,4
AFG,Male,ARM,0,0,0,0,3
AFG,Total,ARM,0,0,0,0,7
AFG,Female,ARU,0,0,0,0,0
AFG,Male,ARU,0,0,0,0,0
AFG,Total,ARU,0,0,0,0,0
AFG,Female,ASA,0,0,0,0,0
AFG,Male,ASA,0,0,0,0,0
AFG,Total,ASA,0,0,0,0,0
AFG,Female,AUS,16,31,350,1236,4449
AFG,Male,AUS,26,40,399,1401,6679
AFG,Total,AUS,42,70,749,2637,11128
AFG,Female,AUT,19,64,105,149,854
AFG,Male,AUT,28,84,112,118,1634
AFG,Total,AUT,47,148,217,267,2488
AFG,Female,AZE,0,0,0,0,0
AFG,Male,AZE,0,0,0,0,0
AFG,Total,AZE,0,0,0,0,0
AFG,Female,BAH,0,0,0,0,0
AFG,Male,BAH,0,0,1,0,0
AFG,Total,BAH,0,0,1,0,0
AFG,Female,BAN,49,40,25,12,13
AFG,Male,BAN,102,79,107,132,145
AFG,Total,BAN,151,119,132,144,158
AFG,Female,BAR,0,0,0,0,0
AFG,Male,BAR,0,0,0,0,0
AFG,Total,BAR,0,0,0,0,0
AFG,Female,BDI,0,0,0,0,0
AFG,Male,BDI,0,0,0,0,0
AFG,Total,BDI,1,0,0,0,0
AFG,Female,BEL,7,34,15,120,111
AFG,Male,BEL,9,58,26,109,98
AFG,Total,BEL,16,91,41,229,209
AFG,Female,BEN,0,0,0,0,0
AFG,Male,BEN,0,0,0,0,0
AFG,Total,BEN,0,0,0,0,0
AFG,Female,BER,0,0,1,0,2
AFG,Male,BER,0,0,1,0,3
AFG,Total,BER,0,0,3,0,4
AFG,Female,BHU,0,0,0,0,0
AFG,Male,BHU,0,0,0,0,0
AFG,Total,BHU,0,0,0,0,0
AFG,Female,BIH,0,0,0,1,0
AFG,Male,BIH,0,0,0,1,1
AFG,Total,BIH,0,0,0,2,2
AFG,Female,BLZ,0,0,0,0,1
AFG,Male,BLZ,0,0,0,0,1
AFG,Total,BLZ,0,0,0,0,3
AFG,Female,BLR,0,0,0,0,0
AFG,Male,BLR,0,0,0,0,0
AFG,Total,BLR,0,0,0,0,0
AFG,Female,BOL,0,0,0,0,0
AFG,Male,BOL,0,0,0,0,2
AFG,Total,BOL,0,0,0,2,2
AFG,Female,BWA,0,0,0,0,0
AFG,Male,BWA,0,0,0,0,0
AFG,Total,BWA,0,0,0,0,0
AFG,Female,BRA,3,0,0,15,11
AFG,Male,BRA,5,0,0,32,17
AFG,Total,BRA,8,0,1,47,28
AFG,Female,BRN,22,32,2694,6227,10054
AFG,Male,BRN,39,30,10690,16292,24366
AFG,Total,BRN,62,61,13384,22519,34419
AFG,Female,BRU,0,0,0,0,0
AFG,Male,BRU,0,0,0,0,0
AFG,Total,BRU,0,0,1,0,0
AFG,Female,BGR,53,55,56,56,260
AFG,Male,BGR,115,120,123,122,566
AFG,Total,BGR,168,175,179,178,826
AFG,Female,BUR,0,0,0,0,0
AFG,Male,BUR,0,0,0,0,0
AFG,Total,BUR,0,0,0,0,0
AFG,Female,CAF,0,0,0,0,0
AFG,Male,CAF,0,0,0,0,0
AFG,Total,CAF,0,0,0,0,0
AFG,Female,KHM,1,1,0,0,0
AFG,Male,KHM,3,3,0,0,2
AFG,Total,KHM,5,4,0,0,3
AFG,Female,CAN,108,1474,2909,655,10707
AFG,Male,CAN,121,1533,2996,885,11263
AFG,Total,CAN,228,3007,5905,1539,21969
AFG,Female,CAY,0,0,0,0,0
AFG,Male,CAY,0,0,0,0,0
AFG,Total,CAY,0,0,0,0,0
AFG,Female,CGO,0,0,0,0,0
AFG,Male,CGO,0,0,0,0,0
AFG,Total,CGO,0,0,0,0,1
AFG,Female,CHL,0,0,0,0,3
AFG,Male,CHL,0,0,0,0,12
AFG,Total,CHL,0,0,0,0,14
AFG,Female,CHN,10,4,0,3,42
AFG,Male,CHN,14,5,0,5,24
AFG,Total,CHN,24,8,0,8,66
AFG,Female,CMR,0,0,0,0,0
AFG,Male,CMR,0,0,0,0,0
AFG,Total,CMR,0,0,0,0,0
AFG,Female,COD,9,4,2,2,1
AFG,Male,COD,16,5,2,2,1
AFG,Total,COD,26,9,5,3,3
AFG,Female,COL,0,0,0,1,39
AFG,Male,COL,0,0,0,0,53
AFG,Total,COL,0,1,1,1,93
AFG,Female,COM,0,0,0,0,0
AFG,Male,COM,0,0,0,0,0
AFG,Total,COM,0,0,0,0,0
AFG,Female,CGO,0,0,0,0,0
AFG,Male,CGO,0,0,0,0,0
AFG,Total,CGO,0,0,0,0,0
AFG,Female,COK,0,0,0,0,0
AFG,Male,COK,0,0,0,0,0
AFG,Total,COK,0,0,0,0,0
AFG,Female,CRC,0,0,14,9,2
AFG,Male,CRC,0,0,11,7,1
AFG,Total,CRC,0,0,25,16,3
AFG,Female,CIV,0,0,0,0,0
AFG,Male,CIV,0,0,0,0,0
AFG,Total,CIV,0,0,0,0,0
AFG,Female,CPV,0,0,0,0,0
AFG,Male,CPV,0,0,0,0,0
AFG,Total,CPV,0,0,0,0,0
AFG,Female,HRV,0,0,0,4,0
AFG,Male,HRV,0,0,0,7,0
AFG,Total,HRV,0,0,0,11,2
AFG,Female,CUB,0,0,0,0,0
AFG,Male,CUB,0,0,0,0,0
AFG,Total,CUB,0,0,0,0,0
AFG,Female,CYP,2,5,9,12,1
AFG,Male,CYP,1,5,9,13,3
AFG,Total,CYP,3,10,18,25,4
AFG,Female,CZE,1,1,2,10,65
AFG,Male,CZE,0,0,1,8,146
AFG,Total,CZE,2,2,3,19,211
AFG,Female,DEN,8,5,13,154,1866
AFG,Male,DEN,5,7,30,230,2331
AFG,Total,DEN,13,12,42,384,4198
AFG,Female,DJI,0,0,0,0,0
AFG,Male,DJI,0,0,0,0,0
AFG,Total,DJI,0,0,0,0,0
AFG,Female,DMA,0,0,0,0,0
AFG,Male,DMA,0,0,0,0,0
AFG,Total,DMA,0,0,0,0,0
AFG,Female,DOM,0,0,0,0,0
AFG,Male,DOM,0,2,3,5,7
AFG,Total,DOM,0,2,3,5,7
AFG,Female,ECU,0,0,0,0,7
AFG,Male,ECU,0,0,0,0,11
AFG,Total,ECU,0,0,0,0,19
AFG,Female,EGY,604,2050,3789,51,62
AFG,Male,EGY,847,1769,2642,126,215
AFG,Total,EGY,1450,3819,6431,177,277
AFG,Female,ESA,3,0,0,0,0
AFG,Male,ESA,3,0,0,0,0
AFG,Total,ESA,7,0,0,0,0
AFG,Female,GNQ,0,0,0,0,0
AFG,Male,GNQ,0,0,0,0,0
AFG,Total,GNQ,0,0,0,0,0
AFG,Female,ERI,0,0,0,0,0
AFG,Male,ERI,0,0,0,0,0
AFG,Total,ERI,0,0,0,0,0
AFG,Female,EST,0,0,0,0,0
AFG,Male,EST,0,0,0,0,0
AFG,Total,EST,0,0,0,0,0
AFG,Female,ETH,0,0,0,0,0
AFG,Male,ETH,0,0,0,0,0
AFG,Total,ETH,0,0,0,0,0
AFG,Female,FRO,3,4,5,5,0
AFG,Male,FRO,4,6,8,8,0
AFG,Total,FRO,7,9,13,14,0
AFG,Female,FLK,0,0,0,0,0
AFG,Male,FLK,0,0,0,0,0
AFG,Total,FLK,0,0,0,0,0
AFG,Female,FIJ,2,2,2,3,4
AFG,Male,FIJ,7,5,4,4,5
AFG,Total,FIJ,9,7,6,8,9
AFG,Female,FIN,0,1,2,4,170
AFG,Male,FIN,0,0,2,0,152
AFG,Total,FIN,0,2,4,4,322
AFG,Female,FRA,844,86,55,22,1510
AFG,Male,FRA,923,91,55,29,1471
AFG,Total,FRA,1767,177,110,51,2981
AFG,Female,GUF,0,0,0,0,0
AFG,Male,GUF,0,0,0,0,0
AFG,Total,GUF,0,0,0,0,0
AFG,Female,PYF,0,0,0,0,0
AFG,Male,PYF,0,0,0,0,0
AFG,Total,PYF,0,0,0,1,1
AFG,Female,GAB,0,0,0,0,0
AFG,Male,GAB,0,0,0,0,0
AFG,Total,GAB,0,0,0,0,0
AFG,Female,GMB,0,0,0,0,0
AFG,Male,GMB,0,0,0,0,0
AFG,Total,GMB,0,0,0,0,0
AFG,Female,GEO,0,0,0,0,0
AFG,Male,GEO,0,0,0,0,0
AFG,Total,GEO,0,0,0,0,0
AFG,Female,DEU,72,91,232,6069,7573
AFG,Male,DEU,127,164,360,9806,7957
AFG,Total,DEU,199,256,592,15875,15529
AFG,Female,GHA,0,2,0,3,6
AFG,Male,GHA,0,4,0,3,6
AFG,Total,GHA,0,6,2,6,11
AFG,Female,GIB,0,0,0,0,0
AFG,Male,GIB,0,0,0,0,0
AFG,Total,GIB,0,0,0,0,0
AFG,Female,GRE,5,13,23,94,61
AFG,Male,GRE,5,13,25,132,296
AFG,Total,GRE,9,26,48,226,357
AFG,Female,GRL,0,0,0,0,0
AFG,Male,GRL,0,0,0,0,0
AFG,Total,GRL,0,0,0,0,0
AFG,Female,GRD,0,0,0,0,0
AFG,Male,GRD,0,0,0,0,0
AFG,Total,GRD,0,0,0,0,0
AFG,Female,GLP,0,0,0,0,0
AFG,Male,GLP,0,0,0,0,0
