Country,1960,1970,1980,1990,2000
ABW,,,,,1873452514
AND,,78617570,446377495,1028989439,1133644295
AFG,537777812,1748886596,3641723447,,
AGO,,,,10260193361,9129594819
ALB,,,,2101624963,3686649387
ARB,,30910527987,336534000000,443860000000,726013000000
ARE,,,43598747467,50701443696,104337000000
ARG,,31584210365,76961923742,141352000000,284204000000
ARM,,,,2256838858,1911563665
ASM,,,,,
ATG,,,110066665,391570364,783837838
AUS,18574308433,41252099899,149679000000,310945000000,414987000000
AUT,6592693841,15335972268,81861232823,166062000000,196422000000
AZE,,,,8858006036,5272617196
BDI,195999990,242732571,919726667,1132101253,870486066
BEL,11658722591,26807913271,127312000000,206114000000,237336000000
BEN,226195578,333627714,1405251844,1959965330,2359122303
BFA,330442817,458404330,1928720390,3101301781,2632700363
BGD,4274893913,8992721809,18114645161,30128776345,47124925462
BGR,,,20039627960,20726301370,13353530517
BHR,,,3072698346,4229787379,9063147901
BHS,169802258,538423168,1335300000,3166000000,6327552000
BIH,,,,,5505984456
BLR,,,,17369598958,12736856485
BLZ,28072505,53233534,194750000,413049984,831750000
BMU,84466654,186300000,613299968,1592400000,3480219000
BOL,563110052,1017171717,4537487843,4867582620,8397858185
BRA,15165569913,42327600116,235025000000,461952000000,644702000000
BRB,87383114,181500000,860438453,2023318164,3119500000
BRN,,179080099,4928824958,3520551724,6001153318
BTN,,,135653295,299787276,439158233
BWA,30411450,96243298,1060889705,3790636664,5788311645
CAF,112155598,189106529,797048197,1440711459,914500332
CAN,41093453545,87762259546,273437000000,592015000000,739456000000
CEB,,,,264565000000,427130000000
CHE,9522746719,,118710000000,257420000000,271660000000
CHI,,,,,6439703435
CHL,4211762522,8981111664,27572307600,31558927517,79328640264
CHN,59184116489,91506211306,189401000000,356937000000,1198470000000
CIV,546203559,1455482795,10175617589,10795850585,10417060605
CMR,618740962,1160002329,6740757493,11151578703,9287367569
COG,131731863,274960700,1705796850,2798746051,3219910666
COL,4040948305,7198373469,33400712095,40274204595,99886577576
COM,,,123505661,250030778,201899884
CPV,,,142246876,306891107,539227053
CRI,507516617,984830160,4831447173,7403457319,15946443103
CSS,1859229159,3646983562,13198346301,17581092353,32283550905
CUB,,5693005244,19912889808,28645436551,30565200000
CUW,,,,,
CYM,,,,,
CYP,,,2154311328,5591130222,9314937556
CZE,,,,40315847384,61474265135
DEU,,215022000000,946695000000,1764970000000,1947210000000
DJI,,,,452328105,551230862
DMA,,,59099999,166322219,335845809
DNK,6248946880,16866156733,70867465285,138095000000,164159000000
DOM,672399700,1485400100,6631000100,7073674721,23996656676
DZA,2723637620,4863487557,42345276288,62045098370,54790058957
EAP,80646626859,126747000000,379739000000,668370000000,1723380000000
EAS,153588000000,404731000000,1801860000000,4715710000000,8107480000000
ECA,,,,452847000000,479206000000
ECS,433636000000,1008900000000,4557400000000,8818820000000,9911800000000
ECU,1010325138,2862504170,17881514683,15239278100,18327386416
EGY,,7682492054,22912499645,43130415142,99838540997
EMU,245741000000,642231000000,2960170000000,5878240000000,6483190000000
ERI,,,,,706370812
ESP,12072126075,40881655099,232135000000,535101000000,595403000000
EST,,,,,5685561596
ETH,,,,12175166763,8242392104
EUU,359356000000,855685000000,3866160000000,7556610000000,8808540000000
FCS,,,,147934000000,186048000000
FIN,5224102196,11365953567,53685049410,141518000000,125540000000
FJI,112334368,219878482,1202567359,1337024782,1684109743
FRA,62651474947,148949000000,703525000000,1275300000000,1368440000000
FRO,,,,,1062339944
FSM,,,,147200000,233226300
GAB,141468978,323802476,4279637934,5952293766,5067865503
GBR,72328047042,130596000000,567100000000,1066690000000,1548660000000
GEO,,,,7753501868,3057453476
GHA,1217230095,2215028588,4445228057,5889174834,4982849054
GIN,,,,2666616177,2995360969
GMB,,52296084,241083113,317083688,782913866
GNB,,78733539,110653831,243961996,370173852
GNQ,,66331429,50642881,112119412,1045998534
GRC,4446528165,13188347727,57039361311,98252302880,130580000000
GRD,,,83614813,221070367,520044361
GRL,,69520029,476051769,1018977225,1068024994
GTM,1043599936,1904000000,7878700032,7650125576,19290566570
GUM,,,,,
GUY,170216239,267800000,603200000,396582263,712667925
HIC,1092290000000,2445960000000,9150560000000,19337000000000,27542300000000
HKG,1320799755,3800766536,28861759209,76928290842,171668000000
HND,335649984,723000000,2566000032,3048896181,7105529647
HPC,17536780855,32291977149,107547000000,130291000000,153886000000
HRV,,,,,21774273832
HTI,,,,,3664503846
HUN,,,,,47110416254
IDN,,9656740014,78013206037,114426000000,165021000000
IMN,,,,,1563667800
IND,37679274491,63517182000,189594000000,326608000000,476609000000
INX,,,,,
IRL,1939329775,4391605368,21726139828,49256398072,99317573706
IRN,,10588052396,90041228622,116035000000,101287000000
IRQ,1683918697,3281713715,53405687888,179911000000,
ISL,248434097,532726023,3420074912,6542685705,8947860486
ISR,2887081901,5372301095,21780968646,52490325648,131451000000
ITA,40385288344,113062000000,475856000000,1177750000000,1142210000000
JAM,699064357,1404720459,2679379401,4592208212,9008629729
JOR,,639519744,3909708819,4159928734,8457923945
JPN,44307342950,209071000000,1086990000000,3103700000000,4731200000000
KAZ,,,,26932728899,18291990619
KEN,791261028,1603438379,7265303092,8572346693,12705357103
KGZ,,,,2674000000,1369691955
KHM,637142866,718401146,,,3654031716
KIR,,14295280,27935550,28413863,67512715
KNA,12366636,16300000,47999999,159200368,420086426
KOR,3891849048,9409775889,67802380521,284757000000,561633000000
,,,,,1849196082
KWT,,2873638822,28638869294,18427778571,37718011469
LAC,73099079144,157555000000,709161000000,1079830000000,2059350000000
LAO,,,,865559856,1731198022
LBN,,,,2838485398,17260364842
LBR,190495648,323099728,854711504,384400000,529064647
LBY,,,,28904898118,33896600871
LCA,,,133414813,397192586,780895357
LCN,81144813059,176076000000,773074000000,1167300000000,2252110000000
LDC,,,115503000000,152394000000,194095000000
LIC,22012532646,40062934369,108691000000,139194000000,178896000000
LIE,,90099361,534699257,1421508901,2483890594
LKA,1419629929,2296470588,4024621900,8032551173,16330810304
LMC,86820784732,161685000000,614511000000,866493000000,1241010000000
