Country,1960,1970,1980,1990,2000
ABW,,,,,
AND,,,,7.5,3.9
AFG,,207,170,121.3,94.5
AGO,,,137.1,133.4,128.3
ALB,,,63.1,35.1,23.2
ARB,159.9194455,130.4055489,90.34171576,57.3804259,44.03759558
ARE,137.1,70.4,28.8,14.2,9.6
ARG,,59.5,37.3,24.4,18
ARM,,,61.1,42.4,26.6
ASM,,,,,
ATG,,,,23.4,13.8
AUS,20.4,17.8,10.8,7.6,5.1
AUT,37.3,25,13.9,8,4.6
AZE,,,,75.4,60.7
BDI,147.4,146.7,131.4,103.4,91.6
BEL,29.5,20.5,12.2,8.3,4.8
BEN,191.8,157.6,126.9,107.9,90
BFA,162.8,150.2,118,102.5,96.2
BGD,176,149.2,133.5,99.6,64.4
BGR,,34.1,24.5,18.4,17.9
BHR,134.6,56.9,26.7,19.5,10.9
BHS,,26.1,25.2,19.6,13
BIH,,,,16.2,8.1
BLR,,,19.4,13.5,11.4
BLZ,,69.6,50.2,32.1,21.2
BMU,,,,,
BOL,179.1,144.4,111.5,84.6,57
BRA,130,101.7,76.2,51.4,28.9
BRB,69.6,41.1,23.9,16.2,14.9
BRN,,,,9.4,7.7
BTN,,182.3,134.6,93.3,58.9
BWA,116,85.6,54.8,38.9,54.4
CAF,157.6,134.1,119.1,115.3,113.3
CAN,27.8,18.5,10.3,6.8,5.2
CEB,,40.85638382,25.12648233,18.47890251,12.14313151
CHE,21.6,15,8.4,6.7,4.6
CHI,,,,,
CHL,127.7,67.3,28.2,16,9.2
CHN,,80.3,48,42.2,30.2
CIV,208.8,160.9,113.6,104.3,99.6
CMR,166,125.6,109.1,84.8,92.5
COG,108.8,93.9,77.5,60.1,76.5
COL,88.9,69.7,44.6,29,21.2
COM,,150.9,118.7,88.1,72.8
CPV,,110.6,62.7,48.4,29
CRI,,61,19.8,14.3,11.3
CSS,62.15846016,47.118279,36.43267495,28.42334904,23.4099642
CUB,,37.7,16.7,10.5,6.5
CUW,,,,,
CYM,,,,,
CYP,,,19.3,9.9,5.5
CZE,,,,12.8,5.6
DEU,,22.1,12.6,7,4.4
DJI,,,117.3,92.1,79.7
DMA,84.7,44.4,15,14,13.6
DNK,21.3,14,8.3,7.4,4.6
DOM,105.5,85.5,64.1,46.1,33.2
DZA,148.4,147.4,101,39.9,33.9
EAP,,82.9,57.1,44.9,33.2
EAS,,78.16186508,52.94049889,43.13826063,31.44867219
ECA,,94.1,62.4,44.4,34.8
ECS,,41.89768349,35.40869971,25.92287338,19.09637525
ECU,120.6,96,68.1,44.2,28.3
EGY,206.1,159.9,113.4,62.5,35.9
EMU,38.84685923,23.91688833,13.56248251,8.341886034,4.981001348
ERI,,128.4,114.3,92.6,58.4
ESP,47.7,25.5,15.3,9.3,5.4
EST,,,22.4,16.5,8.8
ETH,,142.1,142.6,121.8,89.8
EUU,38.13199685,26.18106636,15.98165077,10.63655204,6.349275344
FCS,,138.9573055,113.0342374,93.41173652,82.60262196
FIN,21.9,13.2,7.2,5.5,3.5
FJI,54.4,43.2,35.3,25,20.6
FRA,23.7,15,10.2,7.4,4.4
FRO,,,,,
FSM,,,,43.2,41.6
GAB,,,73.7,60.3,55.5
GBR,22.9,18,12,7.9,5.6
GEO,,,48.5,40.5,31.2
GHA,124.7,119.7,101.7,80.3,65.2
GIN,211.1,194.3,169.5,140.4,103.1
GMB,148.5,125.9,102.8,79.9,63.4
GNB,,,,132.8,108.7
GNQ,,,,124.4,98.8
GRC,48.3,33.8,21.3,11.3,6.9
GRD,,,,17.7,13.6
GRL,,,,,
GTM,148.1,118.3,87.1,59.6,40
GUM,,,,,
GUY,67.8,55.4,53.2,47.1,38.6
HIC,36.4,24.9,17.2,11.9,8.1
HKG,,,,,
HND,141.2,100.9,68.8,45.7,31.1
HPC,,144.8607525,127.0305087,109.1499123,91.9363988
HRV,,,,11.1,7.2
HTI,202,166.2,129.2,100.2,74.8
HUN,53.4,39,23.7,17,9.7
IDN,149.9,113.9,85.4,62,41
IMN,,,,,
IND,164.9,142.7,114.2,88.4,66.5
INX,,,,,
IRL,30.4,19,12,7.7,6
IRN,,151.6,76.3,44.1,28.6
IRQ,132.3,81.8,54.6,41.8,35.7
ISL,17.5,12.8,7.8,5.1,3.1
ISR,,,15.3,9.7,5.6
ITA,44.2,29.7,14.3,8.3,4.7
JAM,62.2,44.2,32.2,24.9,20.1
JOR,107.9,65.4,43.3,30,23.3
JPN,30.4,13.4,7.4,4.6,3.3
KAZ,,,57.5,44.7,37.5
KEN,118.5,91.1,69.3,63.9,68.6
KGZ,,93.3,77.8,54.5,42
KHM,,,119.9,85.6,81.7
KIR,,97.5,85.8,69.1,53.5
KNA,,58.5,41.9,22.9,13.6
KOR,80.6,41.2,12.4,6.1,5.2
,,,,,
KWT,100.2,53.3,29.7,14.4,11
LAC,117.6,88,64.9,43.6,27.2
LAO,,,135.1,110.9,83
LBN,57.7,47.9,39.9,26.8,17.1
LBR,222.1,188,160.2,165.3,118.9
LBY,164.4,95.7,57.2,36.2,24.4
LCA,,57.3,26.6,18.6,15.2
LCN,117.3863906,87.27527504,64.06800658,43.09551851,26.84782968
LDC,,148.7587377,130.3742393,108.4212575,87.8518934
LIC,170.5,146.3,127.9,104.7,85.6
LIE,,,,,
LKA,70.7,53.8,39.4,18.2,14
LMC,156.2,132.5,104,82.6,66.2
LMY,145.7,110.2,89.2,68.8,58.2
LSO,141.8,132.3,93.9,69.5,80.6
LTU,,20.5,18.2,13.4,9.6
LUX,,19.2,11.3,7.3,3.9
LVA,,,19.4,16.6,14.5
MAC,,,,,
MAF,,,,,
MAR,146.5,121.5,94.3,63.5,42.8
MCO,,,,6.3,4.2
MDA,,,38.5,26.7,25.4
MDG,,101.1,105.2,98.1,70.5
MDV,,174.9,106.9,67.8,35.2
MEA,,138.0171503,86.33022393,49.48379834,33.96504997
MEX,101.5,77.3,56,37,21.6
MHL,90.5,63.9,52.6,39.2,33.5
MIC,143.1,105.5,82.6,62.6,51.6
MKD,,,,33,14.2
MLI,243.3,194.8,160.5,130.5,116.2
MLT,36.4,24.7,14.9,10,6.8
MMR,,120.6,96.5,77.5,58.9
MNA,167.8,138,88.9,51.5,35.9
MNE,,,,15,12.5
MNG,,,112.5,77,49.4
MNP,,,,,
MOZ,,180.7,172.9,158,113.8
MRT,134.5,108.9,96,77.8,76
MUS,67.7,60.3,32.3,19.9,16.4
MWI,,205.6,154,143.4,103
MYS,67.3,43.5,25.4,14.3,8.7
NAC,26.08364749,19.76985905,12.38347812,9.172322915,6.955227075
NAM,,63.5,63.3,49.6,49.3
NCL,,,,,
NER,,136.8,134.1,137.7,101
NGA,,170.2,128.9,126.3,112.5
NIC,134.4,118.1,77.4,50.8,32.6
NLD,16.4,12.6,8.8,6.8,5.1
NOC,,37.91027914,34.06487396,24.16573286,18.68387651
NOR,18.4,13.1,8.2,7,3.9
NPL,221.6,180.6,141.4,98.8,60.4
NZL,22.6,16.9,12.7,9.2,6.1
OEC,37.50636076,22.95470863,12.73254457,8.545605014,5.774863309
OED,54.46473211,38.62659954,26.40932524,16.96097463,10.82011363
OMN,,152.9,79.1,31.9,14.2
OSS,,,80.81093708,74.00438741,67.74422008
PAK,186.4,140.4,122,106.1,87.9
PAN,66.8,51.3,35.7,25.8,21.9
PER,136.9,103.3,82.4,56.5,30.4
PHL,66.8,55.4,54.2,41.1,30.1
PLW,,,,30.9,22.8
PNG,134.3,99.9,76.9,65,58.2
POL,57.8,32.2,21,15.1,8.1
PRI,,,,,
PRK,,,,33.4,44.5
PRT,84.6,55.4,22.8,11.5,5.5
PRY,63.3,58.1,49.1,36.9,27.7
PSS,75.13448742,56.66624206,40.02517279,29.74112069,24.80343594
PYF,,,,,
QAT,,50,29.6,17.7,10.7
ROU,,57.1,34.9,31,23.3
RUS,,35.8,27.3,21.9,19.7
RWA,128,128.2,126.8,92.8,108
SAS,167.3,143.9,117.7,91.8,69.2
SAU,,,70.7,35.3,19.3
SDN,107.2,94.7,87.9,80.2,68.9
SEN,126,121.5,91.6,70.5,69.2
SGP,35.5,22,12,6.2,3.1
SLB,132.2,76.3,40.7,31.5,28.4
SLE,222.9,193,170.6,158.1,141.3
SLV,126.3,106.4,78.5,46,26.8
SMR,,,,9.7,4.9
SOM,,,,108.1,104.9
SRB,,,,24,11.1
SSA,,143,119.6,107.4,94.8
SSD,,,174.4,149.5,109.6
SSF,,143.1130814,119.7424774,107.7725004,94.77305197
SST,,82.23997962,65.1663378,61.14408788,56.40879168
STP,,57.6,60.6,70.3,58.4
SUR,,,,40.8,30.4
SVK,,,,15.6,10.2
SVN,,,,8.8,4.5
SWE,16.3,11.3,7.1,5.8,3.4
SWZ,140.2,115.6,80.4,55.4,80.1
SXM,,,,,
SYC,73.6,54,25.4,14.2,12.2
SYR,121.5,75.3,47,30.4,19.8
TCA,,,,,
TCD,,140.4,127.6,115.9,105.9
TGO,162.7,133.4,106.8,90.3,76.7
THA,102.1,71.6,46.9,30.3,19.1
TJK,,,99.9,84.9,74.7
TKM,,,96,72.7,66.4
TLS,,,,129.5,83.8
TON,,39.9,25.1,19.4,15.4
TTO,56.5,44.1,34.3,26.9,25.3
TUN,,121.1,67.9,41,25.6
TUR,169.2,126.5,89.2,55.7,33.7
TUV,,,51.8,44.4,34.2
TZA,144.1,126.9,107,101.3,80.4
UGA,133.5,110.6,126.7,107.2,89.1
UKR,,,23.1,16.7,15.8
UMC,,84.2,56.8,42.5,30.6
URY,57.6,48.7,35.5,20.3,14.6
