Country,1960,1970,1980,1990,2000
ABW,65.56936585,69.08614634,72.22014634,73.38997561,73.72060976
AND,,,,,
AFG,31.58004878,36.65943902,41.23365854,48.56704878,54.84856098
AGO,32.98482927,37.01512195,40.1592439,41.13834146,45.20478049
ALB,62.25436585,66.93258537,70.23597561,71.95731707,74.27207317
ARB,46.76269485,52.47099594,58.48831946,64.62899387,67.66986645
ARE,52.24321951,61.90104878,67.98319512,71.72063415,74.40568293
ARG,65.21553659,66.59082927,69.5144878,71.54365854,73.74565854
ARM,65.86346341,69.92426829,70.68453659,67.74780488,71.27653659
ASM,,,,,
ATG,61.78273171,65.52934146,68.59197561,71.16295122,73.39729268
AUS,70.81707317,71.01853659,74.33365854,76.99463415,79.23414634
AUT,68.58560976,69.91463415,72.46341463,75.56829268,78.12682927
AZE,60.8362439,64.73460976,64.68131707,64.74636585,66.7582439
BDI,41.23604878,43.78192683,47.29165854,47.32914634,48.20802439
BEL,69.70195122,70.97195122,73.20707317,76.05195122,77.72195122
BEN,37.27826829,42.35,47.23458537,53.42,55.1882439
BFA,34.47790244,39.09687805,45.99756098,49.36560976,50.4827561
BGD,47.02456098,47.5845122,54.86892683,60.0084878,65.31973171
BGR,69.24756098,71.25634146,71.15756098,71.64146341,71.66341463
BHR,52.08936585,63.69919512,69.77865854,72.5072439,74.5892439
BHS,62.72904878,65.86385366,68.45860976,70.63065854,72.25429268
BIH,60.27621951,66.06163415,70.23295122,67.44639024,74.66917073
BLR,67.70809756,70.0792439,69.80202439,70.83658537,68.91219512
BLZ,59.96136585,65.54626829,69.56636585,71.1812439,70.53904878
BMU,,70.29,72.30463415,,77.88536585
BOL,42.66812195,45.76626829,51.96843902,58.77858537,62.95460976
BRA,54.69214634,58.85697561,62.70604878,66.515,70.25739024
BRB,60.76660976,64.92743902,68.22587805,70.87453659,73.0194878
BRN,62.45756098,67.2764878,70.87190244,73.7164878,76.03095122
BTN,32.35936585,36.94229268,44.96170732,52.46431707,60.29080488
BWA,50.5362439,54.60912195,60.70982927,62.9355122,50.48963415
CAF,36.48263415,41.93741463,48.71109756,46.04782927,43.69231707
CAN,71.13317073,72.7004878,75.07804878,77.37707317,79.23658537
CEB,67.82376209,69.44706991,69.89032991,70.65636732,72.71969035
CHE,71.31341463,73.0202439,75.45926829,77.24243902,79.6804878
CHI,70.63978049,71.73904878,73.34495122,75.4182439,77.52460976
CHL,57.02153659,62.00443902,69.0555122,73.54514634,76.75856098
CHN,43.46580488,62.9062439,67.02360976,69.47156098,72.14073171
CIV,36.87241463,43.74343902,50.70907317,52.60892683,46.45390244
CMR,41.5237561,46.07639024,51.20702439,53.59126829,51.93587805
COG,48.58163415,53.35904878,56.13921951,55.17768293,52.30192683
COL,56.7167561,60.87319512,65.47817073,68.29719512,70.98721951
COM,43.44195122,47.70731707,51.95517073,55.59941463,57.87943902
CPV,49.00136585,52.1574878,60.22082927,65.88641463,69.5912439
CRI,61.60636585,66.83860976,72.53287805,75.72668293,77.7344878
CSS,61.99397507,65.27583074,67.65377727,68.82188469,69.33634768
CUB,63.90465854,69.88309756,73.8317561,74.64429268,76.66895122
CUW,,,,,
CYM,,,,,
CYP,69.59392683,72.52297561,74.75680488,76.51395122,77.97165854
CZE,70.34878049,69.4402439,70.27804878,71.38390244,74.96829268
DEU,69.31295122,70.63978049,72.67790244,75.17736585,77.92682927
DJI,44.02126829,49.13609756,53.61734146,56.66317073,57.01034146
DMA,,,,,
DNK,72.17658537,73.34341463,74.10170732,74.80536585,76.59268293
DOM,51.84526829,58.53968293,63.03568293,67.95041463,70.63273171
DZA,46.13512195,50.34363415,58.16402439,66.75117073,68.93019512
EAP,45.18954011,60.97105581,65.26138856,68.25272381,70.85422849
EAS,47.9863339,62.14152415,66.30807311,69.24584088,71.80922533
ECA,61.6438744,64.64865842,66.0729125,67.84011657,68.99865325
ECS,67.03137635,69.00843216,70.20367879,72.05565757,73.02872874
ECU,53.12443902,57.77787805,62.92382927,68.83907317,73.35685366
EGY,48.01370732,52.1224878,58.31582927,64.54907317,68.5912439
EMU,69.27333727,71.15672836,73.527384,75.89645927,78.27398842
ERI,37.36290244,40.5235122,43.31992683,48.23595122,56.02653659
ESP,69.10926829,72.02731707,75.34926829,76.83756098,78.96585366
EST,67.90597561,69.93660976,68.91407317,69.47560976,70.41707317
ETH,38.40570732,42.93990244,43.74680488,46.94495122,52.24114634
EUU,69.27930415,70.99770822,72.86240764,74.85868851,77.15762552
FCS,41.04432406,46.94682068,51.26543259,54.92509803,56.3884143
FIN,68.8197561,70.1795122,73.44,74.81317073,77.46585366
FJI,55.9584878,59.9062439,63.00863415,65.57085366,67.60585366
