Country Origin Name,Country Origin Code,Migration by Gender Name,Migration by Gender Code,Country Dest Name,Country Dest Code,1990 [1990]
Afghanistan,AFG,Total,TOT,Afghanistan,AFG,0
Afghanistan,AFG,Total,TOT,Albania,ALB,0
Afghanistan,AFG,Total,TOT,Algeria,DZA,10
Afghanistan,AFG,Total,TOT,American Samoa,ASM,0
Afghanistan,AFG,Total,TOT,Andorra,AND,5
Afghanistan,AFG,Total,TOT,Angola,AGO,0
Afghanistan,AFG,Total,TOT,Anguilla,AIA,0
Afghanistan,AFG,Total,TOT,Antigua and Barbuda,ATG,0
Afghanistan,AFG,Total,TOT,Argentina,ARG,21
Afghanistan,AFG,Total,TOT,Armenia,ARM,0
Afghanistan,AFG,Total,TOT,Aruba,ABW,0
Afghanistan,AFG,Total,TOT,Australia,AUS,2637
Afghanistan,AFG,Total,TOT,Austria,AUT,267
Afghanistan,AFG,Total,TOT,Azerbaijan,AZE,0
Afghanistan,AFG,Total,TOT,"Bahamas, The",BHS,0
Afghanistan,AFG,Total,TOT,Bahrain,BHR,22519
Afghanistan,AFG,Total,TOT,Bangladesh,BGD,144
Afghanistan,AFG,Total,TOT,Barbados,BRB,0
Afghanistan,AFG,Total,TOT,Belarus,BLR,0
Afghanistan,AFG,Total,TOT,Belgium,BEL,229
Afghanistan,AFG,Total,TOT,Belize,BLZ,0
Afghanistan,AFG,Total,TOT,Benin,BEN,0
Afghanistan,AFG,Total,TOT,Bermuda,BMU,0
Afghanistan,AFG,Total,TOT,Bhutan,BTN,0
Afghanistan,AFG,Total,TOT,Bolivia,BOL,2
Afghanistan,AFG,Total,TOT,Bosnia and Herzegovina,BIH,2
Afghanistan,AFG,Total,TOT,Botswana,BWA,0
Afghanistan,AFG,Total,TOT,Brazil,BRA,47
Afghanistan,AFG,Total,TOT,Brunei Darussalam,BRN,0
Afghanistan,AFG,Total,TOT,Bulgaria,BGR,178
Afghanistan,AFG,Total,TOT,Burkina Faso,BFA,0
Afghanistan,AFG,Total,TOT,Burundi,BDI,0
Afghanistan,AFG,Total,TOT,Cambodia,KHM,0
Afghanistan,AFG,Total,TOT,Cameroon,CMR,0
Afghanistan,AFG,Total,TOT,Canada,CAN,1539
Afghanistan,AFG,Total,TOT,Cape Verde,CPV,0
Afghanistan,AFG,Total,TOT,Cayman Islands,CYM,0
Afghanistan,AFG,Total,TOT,Central African Republic,CAF,0
Afghanistan,AFG,Total,TOT,Chad,TCD,0
Afghanistan,AFG,Total,TOT,Channel Islands,CHI,..
Afghanistan,AFG,Total,TOT,Chile,CHL,0
Afghanistan,AFG,Total,TOT,China,CHN,8
Afghanistan,AFG,Total,TOT,Colombia,COL,1
Afghanistan,AFG,Total,TOT,Comoros,COM,0
Afghanistan,AFG,Total,TOT,"Congo, Dem. Rep.",COD,3
Afghanistan,AFG,Total,TOT,"Congo, Rep.",COG,0
Afghanistan,AFG,Total,TOT,Cook Islands,COK,0
Afghanistan,AFG,Total,TOT,Costa Rica,CRI,16
Afghanistan,AFG,Total,TOT,Cote d'Ivoire,CIV,0
Afghanistan,AFG,Total,TOT,Croatia,HRV,11
Afghanistan,AFG,Total,TOT,Cuba,CUB,0
Afghanistan,AFG,Total,TOT,Cyprus,CYP,25
Afghanistan,AFG,Total,TOT,Czech Republic,CZE,19
