Country,1960,1970,1980,1990,2000
ABW,,,,,1873452514
AND,,78617570.32,446377494.9,1028989439,1133644295
AFG,537777811.9,1748886596,3641723447,,
AGO,,,,10260193361,9129594819
ALB,,,,2101624963,3686649387
ARB,,30910527987,3.36534E+11,4.4386E+11,7.26013E+11
ARE,,,43598747467,50701443696,1.04337E+11
ARG,,31584210365,76961923742,1.41352E+11,2.84204E+11
ARM,,,,2256838858,1911563665
ASM,,,,,
ATG,,,110066664.7,391570363.5,783837838
AUS,18574308433,41252099899,1.49679E+11,3.10945E+11,4.14987E+11
AUT,6592693841,15335972268,81861232823,1.66062E+11,1.96422E+11
AZE,,,,8858006036,5272617196
BDI,195999989.8,242732571.4,919726666.7,1132101253,870486065.9
BEL,11658722591,26807913271,1.27312E+11,2.06114E+11,2.37336E+11
BEN,226195578.1,333627713.5,1405251844,1959965330,2359122303
BFA,330442817.2,458404330.1,1928720390,3101301781,2632700363
BGD,4274893913,8992721809,18114645161,30128776345,47124925462
BGR,,,20039627960,20726301370,13353530517
BHR,,,3072698346,4229787379,9063147901
BHS,169802257.8,538423167.5,1335300000,3166000000,6327552000
BIH,,,,,5505984456
BLR,,,,17369598958,12736856485
BLZ,28072504.98,53233534.3,194750000,413049984,831750000
BMU,84466654.08,186300000,613299968,1592400000,3480219000
BOL,563110051.9,1017171717,4537487843,4867582620,8397858185
BRA,15165569913,42327600116,2.35025E+11,4.61952E+11,6.44702E+11
BRB,87383113.71,181500000,860438453.3,2023318164,3119500000
BRN,,179080099.3,4928824958,3520551724,6001153318
BTN,,,135653295.2,299787275.8,439158233.2
BWA,30411449.52,96243298.14,1060889705,3790636664,5788311645
CAF,112155598.4,189106529.2,797048197.1,1440711459,914500332
CAN,41093453545,87762259546,2.73437E+11,5.92015E+11,7.39456E+11
CEB,,,,2.64565E+11,4.2713E+11
CHE,9522746719,,1.1871E+11,2.5742E+11,2.7166E+11
CHI,,,,,6439703435
CHL,4211762522,8981111664,27572307600,31558927517,79328640264
CHN,59184116489,91506211306,1.89401E+11,3.56937E+11,1.19847E+12
CIV,546203558.5,1455482795,10175617589,10795850585,10417060605
CMR,618740961.9,1160002329,6740757493,11151578703,9287367569
COG,131731862.6,274960699.9,1705796850,2798746051,3219910666
COL,4040948305,7198373469,33400712095,40274204595,99886577576
COM,,,123505661.3,250030778.4,201899883.6
CPV,,,142246875.5,306891107.3,539227052.8
CRI,507516617.3,984830159.7,4831447173,7403457319,15946443103
CSS,1859229159,3646983562,13198346301,17581092353,32283550905
CUB,,5693005244,19912889808,28645436551,30565200000
CUW,,,,,
CYM,,,,,
CYP,,,2154311328,5591130222,9314937556
CZE,,,,40315847384,61474265135
DEU,,2.15022E+11,9.46695E+11,1.76497E+12,1.94721E+12
DJI,,,,452328105,551230861.9
DMA,,,59099998.96,166322219.3,335845808.9
DNK,6248946880,16866156733,70867465285,1.38095E+11,1.64159E+11
DOM,672399700,1485400100,6631000100,7073674721,23996656676
DZA,2723637620,4863487557,42345276288,62045098370,54790058957
EAP,80646626859,1.26747E+11,3.79739E+11,6.6837E+11,1.72338E+12
EAS,1.53588E+11,4.04731E+11,1.80186E+12,4.71571E+12,8.10748E+12
ECA,,,,4.52847E+11,4.79206E+11
ECS,4.33636E+11,1.0089E+12,4.5574E+12,8.81882E+12,9.9118E+12
ECU,1010325138,2862504170,17881514683,15239278100,18327386416
EGY,,7682492054,22912499645,43130415142,99838540997
EMU,2.45741E+11,6.42231E+11,2.96017E+12,5.87824E+12,6.48319E+12
ERI,,,,,706370812.3
ESP,12072126075,40881655099,2.32135E+11,5.35101E+11,5.95403E+11
EST,,,,,5685561596
ETH,,,,12175166763,8242392104
EUU,3.59356E+11,8.55685E+11,3.86616E+12,7.55661E+12,8.80854E+12
FCS,,,,1.47934E+11,1.86048E+11
FIN,5224102196,11365953567,53685049410,1.41518E+11,1.2554E+11
FJI,112334368.4,219878482.2,1202567359,1337024782,1684109743
FRA,62651474947,1.48949E+11,7.03525E+11,1.2753E+12,1.36844E+12
FRO,,,,,1062339944
FSM,,,,147200000,233226300
GAB,141468977.5,323802475.5,4279637934,5952293766,5067865503
GBR,72328047042,1.30596E+11,5.671E+11,1.06669E+12,1.54866E+12
GEO,,,,7753501868,3057453476
GHA,1217230095,2215028588,4445228057,5889174834,4982849054
GIN,,,,2666616177,2995360969
GMB,,52296083.65,241083112.7,317083688.2,782913866
GNB,,78733538.81,110653830.7,243961995.5,370173851.9
GNQ,,66331428.57,50642880.77,112119411.5,1045998534
GRC,4446528165,13188347727,57039361311,98252302880,1.3058E+11
GRD,,,83614813.34,221070366.5,520044361.2
GRL,,69520029.27,476051769,1018977225,1068024994
GTM,1043599936,1904000000,7878700032,7650125576,19290566570
GUM,,,,,
GUY,170216238.9,267800000,603200000,396582263.3,712667925.3
HIC,1.09229E+12,2.44596E+12,9.15056E+12,1.9337E+13,2.75423E+13
HKG,1320799755,3800766536,28861759209,76928290842,1.71668E+11
HND,335649984,723000000,2566000032,3048896181,7105529647
HPC,17536780855,32291977149,1.07547E+11,1.30291E+11,1.53886E+11
HRV,,,,,21774273832
HTI,,,,,3664503846
HUN,,,,,47110416254
IDN,,9656740014,78013206037,1.14426E+11,1.65021E+11
IMN,,,,,1563667800
IND,37679274491,63517182000,1.89594E+11,3.26608E+11,4.76609E+11
INX,,,,,
IRL,1939329775,4391605368,21726139828,49256398072,99317573706
IRN,,10588052396,90041228622,1.16035E+11,1.01287E+11
IRQ,1683918697,3281713715,53405687888,1.79911E+11,
ISL,248434097,532726022.7,3420074912,6542685705,8947860486
ISR,2887081901,5372301095,21780968646,52490325648,1.31451E+11
ITA,40385288344,1.13062E+11,4.75856E+11,1.17775E+12,1.14221E+12
JAM,699064357.3,1404720459,2679379401,4592208212,9008629729
JOR,,639519744.2,3909708819,4159928734,8457923945
JPN,44307342950,2.09071E+11,1.08699E+12,3.1037E+12,4.7312E+12
KAZ,,,,26932728899,18291990619
KEN,791261028.4,1603438379,7265303092,8572346693,12705357103
KGZ,,,,2674000000,1369691955
KHM,637142865.7,718401145.9,,,3654031716
KIR,,14295279.54,27935549.99,28413863.09,67512714.52
KNA,12366635.58,16300000,47999999.15,159200367.6,420086426.4
KOR,3891849048,9409775889,67802380521,2.84757E+11,5.61633E+11
,,,,,1849196082
KWT,,2873638822,28638869294,18427778571,37718011469
LAC,73099079144,1.57555E+11,7.09161E+11,1.07983E+12,2.05935E+12
LAO,,,,865559856.2,1731198022
LBN,,,,2838485398,17260364842
LBR,190495648,323099728,854711504,384400000,529064646.7
LBY,,,,28904898118,33896600871
