Country,1960,1970,1980,1990,2000
ABW,54208,59065,60096,62148,90858
AND,13414,24279,36063,54511,65399
AFG,8774440,11015621,13180431,11731193,20595360
AGO,4965988,5928087,7637141,10333844,13924930
ALB,1608800,2135479,2671997,3286542,3089027
ARB,93485943,123400916,165653287,221488293,277550423
ARE,89608,231529,1014825,1806498,3026352
ARG,20623998,23978532,28120135,32624874,36903067
ARM,1867396,2518408,3096298,3544695,3076098
ASM,20012,27292,32456,47044,57522
ATG,54681,65369,70301,61906,77648
AUS,10276477,12507000,14692000,17065100,19153000
AUT,7047539,7467086,7549433,7677850,8011566
AZE,3897889,5178160,6163990,7159000,8048600
BDI,2786740,3457113,4126538,5605873,6674286
BEL,9153489,9655549,9859242,9967379,10251250
BEN,2431620,2907769,3718024,5001271,6949366
BFA,4829291,5624597,6822840,8811033,11607944
BGD,49537147,66308862,82498440,107385847,132383265
BGR,7867374,8489574,8861535,8718289,8170172
BHR,162501,213102,359902,495944,668239
BHS,109526,169356,210660,256338,297759
BIH,3305501,3719459,4099903,4526511,3834364
BLR,8198000,9040000,9643000,10189000,10005000
BLZ,92068,122179,144151,187552,238586
BMU,44400,55000,54670,59326,61833
BOL,3353125,4217248,5368901,6794046,8495271
BRA,72775883,96060361,121740438,149648341,174504898
BRB,230858,238616,248784,259336,267190
BRN,81817,129719,193049,256929,331801
BTN,224155,291555,412745,535738,564350
BWA,524173,693176,997534,1383912,1755375
CAF,1503501,1828710,2274089,2912824,3638316
CAN,17909009,21324000,24593000,27791000,30769700
CEB,91401583,99133296,106564905,110745760,108405522
CHE,5327827,6180877,6319408,6715519,7184250
CHI,109419,121196,128213,140669,148725
CHL,7649026,9578923,11192384,13213930,15454402
CHN,667070000,818315000,981235000,1135185000,1262645000
CIV,3474724,5241914,8265549,12115806,16131332
CMR,5361367,6770967,8932121,12070359,15927713
COG,1013581,1335090,1796412,2383283,3126204
COL,16006395,21344781,26934591,33306941,39897984
COM,190475,232000,313598,412790,528312
CPV,212247,275426,301591,351960,442426
CRI,1334044,1822106,2348427,3078551,3929588
CSS,4186973,4908650,5460759,5962579,6431380
CUB,7141130,8715054,9835085,10600841,11138416
CUW,124826,144739,148041,145400,133860
CYM,7867,9144,16164,25009,41685
CYP,572929,613619,685406,766611,943287
CZE,9602006,9858071,10304193,10333355,10255063
DEU,72814900,78169289,78288576,79433029,82211508
DJI,83636,159667,359247,589924,722887
DMA,60016,71076,75313,70928,69679
DNK,4579603,4928757,5123027,5140939,5339616
DOM,3311788,4523917,5825715,7245127,8663421
DZA,11277757,14690855,19475204,26239708,31719449
EAP,897346338,1115469821,1357754545,1601020882,1812175348
EAS,1043328733,1288617143,1556435636,1817975852,2043352556
ECA,165148711,193753459,221534338,247671262,256285094
ECS,667169692,737312027,793666826,842823160,862094365
ECU,4514593,6024764,7909432,10123593,12533087
EGY,27997745,36342268,44931971,56336614,66136590
EMU,265229785,287276901,302195244,311379312,321107647
ERI,1404810,1796912,2414647,3272563,3939348
ESP,30455000,33814531,37439035,38850435,40263216
EST,1211537,1360076,1477219,1569174,1396985
ETH,22151218,28414999,35241209,48042755,66024199
EUU,409331746,441922962,464224671,477844921,487975692
FCS,117806800,150985664,198397262,254836031,330080933
FIN,4429634,4606307,4779535,4986431,5176209
FJI,393383,520529,635256,728339,811647
FRA,46647521,51895793,55224670,58409202,60911057
FRO,34266,38587,43010,48031,46491
FSM,44539,61433,72967,96331,107430
GAB,498823,589165,726454,946703,1225527
GBR,52400000,55663250,56314216,57247586,58892514
GEO,3645600,3967800,4467700,4802000,4418300
GHA,6652516,8597133,10802497,14628693,18825034
GIN,3576684,4209201,4495479,6020113,8746128
GMB,367929,447283,604371,916811,1228863
GNB,635956,682966,818280,1017385,1273312
GNQ,252115,290905,220589,373851,518179
GRC,8331725,8792806,9642505,10156902,10917482
GRD,89861,94430,89004,96286,101620
GRL,32500,46400,50200,55600,56200
GTM,4140636,5415616,7001101,8890329,11204183
GUM,66741,83880,104131,130482,155328
GUY,560296,720816,776927,725043,744471
HIC,868575188,971393811,1060377879,1139902423,1210695389
HKG,3075605,3959000,5063100,5704500,6665000
HND,2002333,2691309,3635862,4903694,6235561
HPC,161797003,207830484,270819190,353752550,472726491
HRV,4140000,4411000,4588000,4780000,4426000
HTI,3869288,4713134,5691941,7110116,8578234
HUN,9983967,10337910,10711122,10373988,10210971
IDN,88692697,114066887,145494452,178633239,208938698
IMN,48441,56712,65108,70312,76806
IND,449595489,555199768,698965575,868890700,1042261758
INX,,,,,
IRL,2828600,2957250,3412800,3513974,3805174
IRN,21958460,28606584,38889520,56361868,65911052
IRQ,7289759,9917982,13653358,17517521,23801156
ISL,175574,204438,228138,254826,281205
ISR,2114020,2974000,3878000,4660000,6289000
ITA,50199700,53821850,56433883,56719240,56942108
JAM,1629003,1869000,2133000,2390000,2589389
JOR,844000,1508000,2181000,3170000,4797000
JPN,92500572,104345000,116782000,123537000,126843000
KAZ,9714260,12757245,14518924,16348000,14883626
KEN,8105440,11252466,16267906,23446439,31285050
KGZ,2172300,2959900,3617400,4391200,4898400
KHM,5720019,7021559,6699273,9057339,12222871
KIR,32970,43860,54510,71040,82788
KNA,51197,44882,43205,40833,45544
KOR,25012374,32240827,38123775,42869283,47008111
,947000,1219000,1521000,1862000,1700000
KWT,261994,750423,1371494,2059774,1906231
LAC,205744891,270003983,344092052,422257077,500304988
