Country,1960,1970,1980,1990,2000
ABW,65.57,69.09,72.22,73.39,73.72
AND,,,,,
AFG,31.58,36.66,41.23,48.57,54.85
AGO,32.98,37.02,40.16,41.14,45.20
ALB,62.25,66.93,70.24,71.96,74.27
ARB,46.76,52.47,58.49,64.63,67.67
ARE,52.24,61.90,67.98,71.72,74.41
ARG,65.22,66.59,69.51,71.54,73.75
ARM,65.86,69.92,70.68,67.75,71.28
ASM,,,,,
ATG,61.78,65.53,68.59,71.16,73.40
AUS,70.82,71.02,74.33,76.99,79.23
AUT,68.59,69.91,72.46,75.57,78.13
AZE,60.84,64.73,64.68,64.75,66.76
BDI,41.24,43.78,47.29,47.33,48.21
BEL,69.70,70.97,73.21,76.05,77.72
BEN,37.28,42.35,47.23,53.42,55.19
BFA,34.48,39.10,46.00,49.37,50.48
BGD,47.02,47.58,54.87,60.01,65.32
BGR,69.25,71.26,71.16,71.64,71.66
BHR,52.09,63.70,69.78,72.51,74.59
BHS,62.73,65.86,68.46,70.63,72.25
BIH,60.28,66.06,70.23,67.45,74.67
BLR,67.71,70.08,69.80,70.84,68.91
BLZ,59.96,65.55,69.57,71.18,70.54
BMU,,70.29,72.30,,77.89
BOL,42.67,45.77,51.97,58.78,62.95
BRA,54.69,58.86,62.71,66.52,70.26
BRB,60.77,64.93,68.23,70.87,73.02
BRN,62.46,67.28,70.87,73.72,76.03
BTN,32.36,36.94,44.96,52.46,60.29
BOT,50.54,54.61,60.71,62.94,50.49
CAF,36.48,41.94,48.71,46.05,43.69
CAN,71.13,72.70,75.08,77.38,79.24
CEB,67.82,69.45,69.89,70.66,72.72
CHE,71.31,73.02,75.46,77.24,79.68
CHI,70.64,71.74,73.34,75.42,77.52
CHL,57.02,62.00,69.06,73.55,76.76
CHN,43.47,62.91,67.02,69.47,72.14
CIV,36.87,43.74,50.71,52.61,46.45
CMR,41.52,46.08,51.21,53.59,51.94
COG,48.58,53.36,56.14,55.18,52.30
COL,56.72,60.87,65.48,68.30,70.99
COM,43.44,47.71,51.96,55.60,57.88
CPV,49.00,52.16,60.22,65.89,69.59
CRI,61.61,66.84,72.53,75.73,77.73
CSS,61.99,65.28,67.65,68.82,69.34
CUB,63.90,69.88,73.83,74.64,76.67
CUW,,,,,
CYM,,,,,
CYP,69.59,72.52,74.76,76.51,77.97
CZE,70.35,69.44,70.28,71.38,74.97
DEU,69.31,70.64,72.68,75.18,77.93
DJI,44.02,49.14,53.62,56.66,57.01
DMA,,,,,
DNK,72.18,73.34,74.10,74.81,76.59
DOM,51.85,58.54,63.04,67.95,70.63
DZA,46.14,50.34,58.16,66.75,68.93
EAP,45.19,60.97,65.26,68.25,70.85
EAS,47.99,62.14,66.31,69.25,71.81
ECA,61.64,64.65,66.07,67.84,69.00
ECS,67.03,69.01,70.20,72.06,73.03
ECU,53.12,57.78,62.92,68.84,73.36
EGY,48.01,52.12,58.32,64.55,68.59
EMU,69.27,71.16,73.53,75.90,78.27
ERI,37.36,40.52,43.32,48.24,56.03
ESP,69.11,72.03,75.35,76.84,78.97
EST,67.91,69.94,68.91,69.48,70.42
ETH,38.41,42.94,43.75,46.94,52.24
EUU,69.28,71.00,72.86,74.86,77.16
FCS,41.04,46.95,51.27,54.93,56.39
FIN,68.82,70.18,73.44,74.81,77.47
FJI,55.96,59.91,63.01,65.57,67.61
FRA,69.87,71.66,74.05,76.60,79.06
FRO,,,,76.06,78.44
FSM,57.59,61.63,65.18,66.20,67.28
GAB,39.56,46.63,54.84,61.29,59.69
GBR,71.13,71.97,73.68,75.88,77.74
GEO,63.43,67.16,69.38,70.00,71.63
GHA,45.83,49.33,52.27,56.75,56.99
GIN,34.89,36.64,41.26,49.92,51.25
GMB,32.04,37.87,46.35,52.22,55.17
GNB,42.15,44.04,45.88,49.07,51.45
GNQ,36.73,39.73,42.91,46.56,47.76
GRC,68.16,70.90,73.65,76.94,77.89
GRD,59.82,63.59,66.37,68.48,70.25
GRL,,,63.45,65.07,66.89
GTM,45.53,52.05,57.20,62.24,67.74
GUM,61.23,65.87,69.39,72.04,75.10
GUY,58.23,59.51,60.68,62.12,63.48
HIC,68.14,70.24,72.42,74.61,76.16
HKG,67.00,71.45,74.67,77.38,80.88
HND,46.29,52.52,59.61,66.69,70.48
HPC,39.57,43.68,47.41,49.63,51.74
HRV,64.61,68.20,70.18,72.17,72.81
HTI,42.16,47.19,50.73,54.43,57.42
HUN,68.00,69.16,69.06,69.32,71.25
IDN,44.81,52.39,58.59,63.45,67.25
IMN,,,,,
IND,41.38,48.84,55.38,58.53,62.16
INX,,,,,
IRL,69.69,71.00,72.55,74.74,76.54
IRN,44.95,50.86,54.67,63.45,69.61
IRQ,48.03,58.19,60.29,68.40,70.83
ISL,73.43,73.93,76.85,78.04,79.65
ISR,,71.21,73.88,76.61,78.95
ITA,69.12,71.56,73.94,76.97,79.78
JAM,64.19,68.19,70.49,70.65,70.47
JOR,52.69,60.19,66.23,69.92,71.78
JPN,67.67,71.95,76.09,78.84,81.08
KAZ,58.37,62.28,66.62,68.34,65.52
KEN,46.36,52.23,57.82,59.12,52.84
KGZ,56.13,60.24,62.90,68.30,68.56
KHM,41.20,41.68,29.61,54.75,61.89
KIR,46.88,51.38,55.84,60.64,64.61
KNA,,,,,
KOR,53.00,62.04,65.81,71.30,75.84
,,,,67.75,67.95
KWT,60.35,66.14,69.69,72.26,73.36
LAC,55.88,60.05,64.28,68.06,71.42
LAO,43.19,46.23,49.00,54.12,61.64
LBN,63.28,66.08,67.96,70.22,74.39
LBR,34.78,39.30,46.02,47.20,52.41
LBY,42.64,56.12,64.29,68.56,71.97
LCA,57.30,62.85,68.78,71.05,71.42
LCN,56.24,60.33,64.57,68.31,71.63
